key,no,question_key,subject,answer,rater_1,rater_2,rater_3,rater_4,rater_5
std-kuis-11,11,kuis-1,kuis,Variability is the continuity of data changes that occur continuously. Visualization is used to present data that can be understood more easily.,1,1,1,1,1
std-kuis-12,12,kuis-1,kuis,Variability is the continuity of data changes that occur continuously. Value is data that must ultimately create a value for the company or organization.,3,3,3,3,3
std-kuis-13,13,kuis-1,kuis,VALUE value and VERACITY honesty a. Value value is the function or usefulness of data. Big data has a very high value if processed properly. b. Veracity honesty is the vulnerability of the accuracy and validity of big data so that it requires depth to analyze big data in order to produce the right decision.,5,5,5,5,5
std-kuis-14,14,kuis-1,kuis,Veracity dan value,2,2,2,2,2
std-kuis-15,15,kuis-1,kuis,"a. VALIDITY: Related to data quality, governance, and massive master data management b. VERACITY: Data accuracy. Information processed from the data so that it can become useful and reliable information, we must also look at the data sources used.",3,3,2,3,3
std-kuis-16,16,kuis-1,kuis,1. Veracity: refers to how accurate and reliable it is because big data has vulnerabilities in terms of accuracy so it requires depth to analyze big data in order to produce the right decision. 2. Value: big data has a very high value if processed in the right way to understand the meaning of data.,5,5,5,5,5
std-kuis-17,17,kuis-1,kuis,"- Fast-moving veracity data can be biased, abnormal, and too noisy to be used immediately. This means that there needs to be a strategy to reduce and process the big data obtained so that it can function. - Volality we need to weigh the answer to the question of how long the data is valid and how long volatility needs to be displayed. This is related to the velocity aspect where it is very possible to get real-time data. There needs to be special consideration to assess the relevance of data to the needs of city managers.",3,3,2,3,3
std-kuis-18,18,kuis-1,kuis,"Veracity, namely Big Data has vulnerabilities in terms of accuracy and validity so that it requires depth to analyze Big Data in order to produce the right decision. Value, meaning Big Data has a very high value if processed in the right way.",5,5,5,5,5
std-kuis-19,19,kuis-1,kuis,"In addition to 3V, namely Variety, Velocity, and Volume, the other 2Vs that are included in the characteristics of Big Data are: Veracity. Veracity or truth is a characteristic of Big Data which means that Big Data has a certain degree of reliability of the data. Because the majority of data is unstructured and irrelevant, Big Data needs an alternative way to filter out the inappropriate data, or translate it if necessary if needed. In this case, Big Data has vulnerabilities in terms of accuracy and validity so that it requires depth to analyze Big Data in order to produce the right decision. Thus, Big Data must achieve a certain degree of reliability so that the existing data is valid for use in its implementation. Value. Value includes not only the amount of data in Big Data that is stored and processed, but also includes the amount of valuable, true, and valid data that must be stored, processed, and analyzed in its implementation. Thus, Big Data has a very high value if processed in an appropriate manner.",5,5,5,5,5
std-kuis-20,20,kuis-1,kuis,"Value means big data has a very high value if processed in an appropriate way or it can also be said how valuable or meaningful a data is. Veracity refers to the trustworthiness of the data. The more data is collected and analyzed automatically but is not captured in its entirety due to high volume and speed. the larger the data, the higher the uncertainty about the accuracy of the data.",5,5,5,5,5
std-kuis-21,21,kuis-1,kuis,"high value, parameter of the level of usefulness of data in a Big Data system, whether the data can be used to achieve a certain goal or not veracity susceptibility to inaccuracy invalid if not analyzed in depth, parameter of how far the data in a Big Data system can be relied on and trusted, several factors that influence veracity, including: consistency, completeness of data, data integrity, data ambiguity",5,5,5,5,5
std-kuis-22,22,kuis-1,kuis,"a. Veracity data refers to the inconsistency and uncertainty of data, where this is related to the availability of data, its quality and accuracy which are difficult to control. b. Value data refers to the valuable value of data that is owned as extracted information.",5,4,5,5,5
std-kuis-23,23,kuis-1,kuis,"Value: This is the most important characteristic of big data, where the quality of the data obtained is the most important thing. Where the data is obtained from and how useful the data obtained is. Veracity: This characteristic is the level of truth of the data obtained. The data obtained needs to be filtered and separated so as not to interfere with the big data computing process. This is because the data collected into big data will be connected to each other so as to form a level of truth of the collected data.",5,5,5,5,5
std-kuis-24,24,kuis-1,kuis,Veracity refers to the chaos or trustworthiness of the data. Value refers to our ability to transform our data into value.,5,4,5,5,4
std-kuis-25,25,kuis-1,kuis,Veracity veracity refers to how accurate and reliable a piece of data is. Value value refers to how valuable or meaningful a piece of data is.,5,5,5,5,5
std-kuis-26,26,kuis-1,kuis,"4. Veracity: is the quality of data, considering the quality of incoming data, because not all data is accurate. 5. Value: is the value of the data. In business, value is used to consider decisions. Big data value means having a high value if processed properly.",5,5,5,5,5
std-kuis-27,27,kuis-1,kuis,"The value of existing data will have great value if analyzed or used with the right method and for the right purpose. In other words, the value of the data depends on the analysis carried out by Veracity on how accurate and reliable the data is to be analyzed and used. This is based on the nature of big data which is vulnerable in terms of accuracy and validity.",5,5,5,5,5
std-kuis-28,28,kuis-1,kuis,"VALIDITY: The data used must be valid, accurate and correct according to what is intended to be used because valid data is the key to making the right decision. VERACITY: Relating to data inconsistencies that can occur at any time, thus inhibiting the process of processing and managing data effectively.",3,3,3,3,4
std-kuis-29,29,kuis-1,kuis,"1. Veracity, meaning big data has vulnerabilities in terms of data accuracy and validity. Whether the data is accurate or not. 2. Value, meaning big data has a very high value if processed in the right way.",5,5,5,5,5
std-kuis-30,30,kuis-1,kuis,1. Veracity Big data has weaknesses in terms of accuracy and validity so that it requires depth in the big data analysis process in order to obtain accurate data results. So this characteristic is more directed towards data accuracy and validity. 2. Value Big data has a very high value if it can be processed correctly and precisely.,5,5,5,5,5
std-kuis-31,31,kuis-1,kuis,"a. Veracity Big Data has vulnerabilities in terms of accuracy and validity. Veracity refers to the assurance of quality, integrity, credibility, and accuracy of data. b. Value Big Data has a very high value if processed in an appropriate manner. Value refers to how useful the data is in decision making.",5,5,5,5,5
std-kuis-32,32,kuis-1,kuis,"Validity. The data taken must be correct and accurate according to what is to be used. Valid data is one of the keys to making the right decision. Veracity. Refers to data inconsistencies that can occur at any time, thus inhibiting the process of processing and managing data effectively.",3,3,3,3,3
std-kuis-33,33,kuis-1,kuis,"Other 2V: VALUE Value means Big Data has a very high value if obtained in the right way. Extraction of accurate and economical data values ​​requires sophisticated data solutions. In addition, the values ​​obtained and processed greatly affect the decisions to be taken. By knowing the value, it can avoid mistakes in taking steps or decisions so that the initial goal can be achieved effectively and efficiently. VERACITY Veracity can be interpreted as the validation of the data used can be trusted or not. Data that is very large in number is prone to inaccuracy and low validity. In fact, truth can make data analysis more accurate so that data quality can be improved. So it takes depth to analyze and interpret data so that it can produce the right and accurate decisions.",5,5,5,5,5
std-kuis-34,34,kuis-1,kuis,Value and Veracity Honesty Value is the function or usefulness of data. Big data has a very high value if processed properly. Veracity honesty is the vulnerability of the accuracy and validity of big data so that it requires depth to analyze big data in order to produce the right decision.,5,5,5,5,5
std-kuis-35,35,kuis-1,kuis,"Vericity - this aspect concerns the truth, accuracy, and validity of data. Whether the data can be trusted or not. Big data with analysis technology helps us to be able to work with the data through the results of the analysis, because the larger the volume of data, the less accurate the data will be. There needs to be an in-depth analysis of big data in order to produce the right decision. Value - after the data goes through the dimensions of velocity, variety, volume, and variety, the data will have a value. Big data will have a high value if processed in the right way. This value will greatly influence the next steps and decisions that will be chosen.",3,5,5,5,5
std-kuis-36,36,kuis-1,kuis,Value and Veracity Honesty Value is the function or usefulness of data. Big data has a very high value if processed properly. Veracity honesty is the vulnerability of the accuracy and validity of big data so that it requires depth to analyze big data in order to produce the right decision.,5,5,5,5,5
std-kuis-37,37,kuis-1,kuis,"Along with the development, the characteristics of Big Data previously known as 3V have become 5V, namely volume, variety, velocity, veracity, and value. 2V in addition to those explained in the module, namely: 1. Veracity, namely Big Data has vulnerability in terms of accuracy and validity so that it requires depth to analyze Big Data in order to produce the right decision. 2. Value, namely the value of data determines the decision taken after processing all data.",5,5,5,5,5
std-kuis-38,38,kuis-1,kuis,Value means that big data will have a high value if it is processed properly. Veracity is the in-depth need to analyze Big Data to produce the right decisions.,4,5,4,4,5
std-kuis-39,39,kuis-1,kuis,1. Veracity -- big data has low accuracy and validity so it requires special depth and skills to analyze big data properly 2. Value -- the value that can be obtained after the big data is analyzed. Each big data has its own uses and the value of a big data is determined by the usefulness of the data.,5,5,5,5,5
std-kuis-40,40,kuis-1,kuis,"Two other characteristics of Big Data are value and varicity. Value is the value of a data that can be used to determine a decision after processing all the data. If there is no value, it will be difficult to determine the next decision or make the wrong move. Meanwhile, varicity is something related to the validity of the data. With this validity, it can be used to determine the truth of the data.",3,3,5,4,5
std-kuis-41,41,kuis-1,kuis,"1. Variety: The data collected varies. For example: from social media, we get data on likes, comments, views, login time, location, likes, dislikes, friends, searches, etc. 2. Velocity: Data obtained quickly. For example: from social media, data is obtained in real-time and changes rapidly over time. 3. Volume: Data has a very large volume. For example: from social media, 1 account can store a lot of data that can be analyzed, social media has millions of accounts that can be analyzed. The volume is very large.",1,1,1,1,1
std-kuis-42,42,kuis-1,kuis,"Value: value is one of the characteristics of big data. Big data has a high value if it is processed and packaged in the right way or can be called how valuable or meaningful the data results are. The data obtained can be very important in an analysis for the benefit of the company. On the other hand, data may also be unimportant or worthless for something. Big data analysis will filter data so that the data displayed is data that has value. Veracity: veracity is one of the characteristics of big data. Big data has a vulnerable side of accuracy and validity. This makes big data require deeper analysis in order to produce accurate data. In addition, veracity also refers to how reliable the data obtained is.",5,5,5,5,5
std-kuis-43,43,kuis-1,kuis,Value: the data in big data if it can be utilized and processed properly will be of very high value. Veracity: Big data has vulnerabilities in terms of accuracy and validity so that it requires depth in analyzing big data in order to produce the right decision.,5,5,5,5,5
std-kuis-44,44,kuis-1,kuis,"VALIDITY. The data taken must be correct and accurate according to what is to be used. Valid data is one of the keys to making the right decision VERACITY. Refers to data inconsistencies that can occur at any time, thus inhibiting the process of processing and managing data effectively",2,3,3,3,3
std-kuis-45,45,kuis-1,kuis,"Veracity, namely big data has vulnerabilities in terms of accuracy and validity, so it is necessary to deepen the analysis of big data in order to obtain the right decision. Value, namely in analyzing data, value is needed and generated from each data. Big data has a very high value if processed in the right way.",5,5,5,5,5
std-kuis-46,46,kuis-1,kuis,"The 2Vs that are additional to 3V are veracity and value. Veracity means that big data has vulnerabilities in terms of accuracy and validity, so it requires depth to analyze big data in order to produce the right decision. Value means that big data has a very high value if processed in the right way.",5,5,5,5,5
std-kuis-47,47,kuis-1,kuis,"Veracity: related to the quality, accuracy and validity of the data that will affect the final decision. Example: Data collected from health centers is of different quality from data from surveys. Value means that big data has a very high value if processed in an appropriate manner. The value of data will determine the decisions taken.",5,5,5,5,5
std-kuis-48,48,kuis-1,kuis,"1. VeracityTruth: Concerning the validity of data whether it can be trusted or not. With the many forms of data, the truth of information becomes less controlled 2. ValueValue: The value of data determines the decisions we make after processing all the data. Most data that has no value will be useless to the company, unless the data is transformed into something useful.",5,5,5,5,5
std-kuis-49,49,kuis-1,kuis,1. Validity Validity means that the data taken must be correct and accurate according to what is to be used. This valid data is one of the keys to making the right decision. 2. Veracity Veracity refers to data inconsistencies that can occur at any time considering the large amount of incoming data and the entry of the data at different times. This can hinder the process of processing and managing data effectively.,2,3,3,3,3
std-kuis-50,50,kuis-1,kuis,Extracting value from accurate and economical data requires sophisticated data solutions because it cannot be done manually. Vercity of truth can make analysis more accurate so that data quality can be improved.,2,5,5,4,4
std-kuis-51,51,kuis-1,kuis,"- Veracity In analyzing big data to produce the right decision, depth of analysis is needed so that the results are accurate. The Veracity character refers to how accurate and reliable the data is. - Value Big data has great meaningful values ​​when processed in the right way so that it produces impactful insights.",5,5,5,5,5
std-kuis-52,52,kuis-1,kuis,"VERACITY Big data has vulnerabilities in terms of accuracy and validity so that it requires depth to analyze big data in order to produce the right decisions. The character of veracity refers to how accurate and reliable the data is. VALUE Value means that big data has a very high value if processed in an appropriate manner or it can also be said how valuable or meaningful the data is. For example, the employee biodata of a food raw material sales company will not be valuable for the purposes of analyzing the prediction of raw material sales to customers. The data may not be important and valuable for one thing, but it can be very important and very valuable for another. Data that has no value in any part will not be filtered in the Big Data analysis application system.",5,5,5,5,5
std-kuis-53,53,kuis-1,kuis,"VERACITY Veracity means that big data has vulnerabilities in terms of accuracy and validity, so it requires depth to analyze big data in order to produce the right decision. VALUE value means that big data has a very high value if processed in an appropriate way.",5,5,5,5,5
std-kuis-54,54,kuis-1,kuis,"Two characteristics of Big Data 2V other than those explained in the module are Value and Veracity, the quality of valid data. Value is the data contained in Big Data if utilized and processed properly will be of very high value. Veracity is Big Data that has vulnerabilities in terms of its accuracy and validity so that it requires depth in analyzing Big Data accurately in order to produce decisions that are right on target. Veracity is related to the truth of data so that it can be used as a benchmark for whether it can be trusted or not.",5,5,5,5,5
std-kuis-55,55,kuis-1,kuis,"Veracity, which aims at how accurate the data is, the authenticity of the data, the reputation of the data, the accountability of the data and how valid a data is in Big Data. Value, which is in Big Data if it is used according to its function, is useful for humanity and makes work easier, then it has value or meaning in a data.",5,5,5,5,5
std-kuis-56,56,kuis-1,kuis,Veracity: big data has vulnerabilities in terms of accuracy and validity so that it requires depth to analyze big data in order to produce the right decision. The value of big data has a very high value if processed in an appropriate way.,5,5,5,5,5
std-kuis-57,57,kuis-1,kuis,"The value of data that can determine decision making after processing all the data, and veracity is the accuracy of the data, whether it can be trusted or not.",5,5,5,4,5
std-kuis-58,58,kuis-1,kuis,"Characteristics of Big Data, namely: 1. Value is a collection of data contained in Big Data if utilized and processed properly will be a very high value both in terms of its effectiveness and optimization for stakeholders who are planned to be right on target. 2. Veracity, namely the weak side of Big Data which has vulnerabilities in terms of its accuracy and validity so that it requires depth in analyzing Big Data accurately in order to produce the right decisions and have a positive impact on the parties involved and stakeholders.",5,5,5,5,5
std-kuis-59,59,kuis-1,kuis,Speed,1,1,1,1,1
std-kuis-60,60,kuis-1,kuis,The other 2Vs are veracity of truth and value of value. 1. Veracity of Truth means that data can be called Big Data if it has vulnerabilities in terms of accuracy and validity so that it requires depth to analyze Big Data in order to produce the right and correct decisions. 2. Value of Value means that data can be categorized as Big Data if it has a very high value if processed in an appropriate manner.,5,5,5,5,5
std-kuis-61,61,kuis-1,kuis,VARICITY Big data has vulnerabilities in terms of accuracy and validity so it requires depth to analyze it. VALUE means big data has a very high value if processed in the right way,3,3,5,2,5
std-kuis-62,62,kuis-1,kuis,"1. Veracity refers to the chaos or trustworthiness of the data. With many forms of big data, quality and accuracy are less controlled, for example Twitter posts with hashtags, abbreviations, typos and colloquialisms. Big Data and analytics technologies now allow us to work with this type of data. Volume often makes up for a lack of quality or accuracy. But all that volume of fast-moving data of varying degrees and veracity must be turned into value. This is why volume is one of the most important Vs of big data. 2. Value refers to our ability to turn our data into value. It is essential that businesses make a case for any effort to collect and leverage big data. It is easy to fall into the trap of buzz and embark on big data initiatives without a clear understanding of the business value it will bring.",5,5,5,5,5
std-kuis-63,63,kuis-1,kuis,"2 other Vs included in the characteristics of big data are validity and veracity. 1. veracity refers to data inconsistencies that can occur at any time, which can hinder the process of processing and managing data effectively. veracity can also be interpreted as vulnerability in terms of the accuracy and validity of data so that in-depth big data analysis is needed to produce the right decision. 2. value big data has a high value if it is processed and processed in the right way or data can be meaningful if processed in the right way.",5,5,5,5,5
std-kuis-64,64,kuis-1,kuis,"Varicity Concerning the validity of data whether it can be trusted or not. With the many forms of data, the truth about information becomes less controlled. Big data with analysis technology helps us to be able to work with the data through analysis results, because the larger the volume of data, the less accurate the data will be. Value The value of data determines the decisions we make after processing all the data. In the business world, it is very important to know the value of data. Without knowing the value of data, we will have difficulty or even be wrong in taking the next step. Utilizing the right data value will make business more efficient",3,3,5,5,5
std-kuis-65,65,kuis-1,kuis,"In addition to variety, velocity, and volume, big data has other characteristics, namely veracity and value. Veracity: Big data is not always valid and accurate, so it takes depth in analyzing big data in order to produce the right decisions. Value: Big data has a very high value if it can be processed and analyzed properly.",5,5,5,5,5
std-kuis-66,66,kuis-1,kuis,"- Veracity Refers to data inconsistencies that can occur at any time, thus inhibiting the process of processing and managing data effectively. In addition, veracity is also related to the analysis of data accuracy, to show whether the data is reliable or not. The larger the volume of data with many types of data, the more inaccurate the information obtained. - Value The four components, namely variety, velocity, volume, and veracity will produce data that has value. Value refers to how useful the data is in decision making. In the business sector, valuable data makes it easier for entrepreneurs to make decisions and design business strategies. So that the business can run effectively and efficiently",5,5,5,5,5
std-kuis-67,67,kuis-1,kuis,,1,1,1,1,1
std-kuis-68,68,kuis-1,kuis,Value and Veracity Honesty. Value is the function or usefulness of data. Big data has a very high value if processed in an appropriate manner. Veracity honesty is the vulnerability of the accuracy and validity of big data so that it requires depth to analyze big data in order to produce the right decision.,5,5,5,5,5
std-kuis-69,69,kuis-1,kuis,"- Veracity: Veracity basically means the level of reliability that data offers. Since most of the data is unstructured and irrelevant, Big Data needs to find alternative ways to filter it or translate it as data is very important in business development. - Value: Value is the main issue that we need to pay attention to. It is not just the amount of data that we store or process. It is actually the amount of valuable, reliable and trustworthy data that needs to be stored, processed, analyzed to find insights.",5,5,5,5,5
std-kuis-70,70,kuis-1,kuis,"1. Veracity Veracity means that big data has vulnerabilities in terms of accuracy and validity, so it requires depth to analyze big data in order to produce the right decisions. The character of veracity refers to how accurate and reliable the data is. 2. Value Value means that big data has a very high value if it is processed in an appropriate way or it can also be said how valuable or meaningful the data is. For example, the employee biodata of a food raw material sales company will not be valuable for the purposes of analyzing the prediction of raw material sales to customers. The data may not be important and valuable for one thing, but it can be very important and very valuable for another. Data that has no value in any case will not be filtered in the Big Data analysis application system.",5,5,5,5,5
std-kuis-71,71,kuis-1,kuis,"VERACITYVALIDITY The quality or credibility of the collected data. Big Data is very broad and involves many data sources, there is a possibility that not all of the data will have good quality or be accurate. Therefore, when processing big data, data validity testing is very important before processing. VALUE Although data is produced in large volumes, we cannot collect data carelessly. The data we collect must be data that can provide added value to the business. One way to assess how valuable data is is to calculate the costs required to process big data and compare it with the expected Return On Investment ROI from big data insights. If the results are good, our company or organization can use the data.",5,5,5,5,5
std-kuis-72,72,kuis-1,kuis,"2V namely Veracity and Value in addition to those explained in the module. Veracity basically means the level of reliability offered by the data. Since most data is unstructured and irrelevant, Big Data needs to find alternative ways to filter it or translate it because data is very important in business development. While Value The value of data determines the decisions we make after processing all the data. In the business world, it is very important to know the value of data. Without knowing the value of data, we will have difficulty or even make mistakes in taking the next step. Utilizing the right data value will make business more efficient.",5,5,5,5,5
std-kuis-73,73,kuis-1,kuis,-Veracity of truth: means that data can be called big data if it has vulnerabilities in terms of accuracy and validity so that it requires depth to analyze big data in order to produce the right and correct decisions. -Value value: means that data can be categorized as big data if it has a very high value if processed in an appropriate manner.,5,5,5,5,5
std-kuis-74,74,kuis-1,kuis,"Varicity: the truth of the collected data. The abundance of data owned and used must of course have high accuracy and validity. Value: The usefulness of the data. The data that has been collected will be used for what. Basically, the usefulness of the data is to make decisions.",5,3,5,4,5
std-kuis-75,75,kuis-1,kuis,"veracity, namely the accuracy and validity of big data is very vulnerable so that it requires depth to analyze. value, namely big data has a very high value if processed in the right way.",5,5,5,5,5
std-kuis-76,76,kuis-1,kuis,The other two Vs are: Veracity is a characteristic that relates to the accuracy of the data owned. Is the quality of the data in accordance with what we want the trust in the data owned. Value is a characteristic that can transform the data into a business potential.,5,5,5,5,5
std-kuis-77,77,kuis-1,kuis,Varicity and value. Varicity is used to check whether the data is valid. Value is used to determine business decisions.,5,3,5,2,4
std-kuis-78,78,kuis-1,kuis,"The value of access to big data can have high value if it can be managed properly. Veracity big data has vulnerabilities in the accuracy or validity of data so that in analyzing big data, deep skills are needed to produce the right decisions. The character of veracity refers to how accurate and reliable a data is.",5,5,5,5,5
std-kuis-79,79,kuis-1,kuis,Two other characteristics of 2V in Big Data are Veracity and Value. This validity veracity character refers to how accurate and reliable the quality or credibility of the data obtained is. This is because big data has vulnerabilities in terms of accuracy and level of data validity so that it requires more depth to analyze big data in order to produce the right output. Value refers to how valuable or meaningful the existing data is. Big data has a very high value if processed in the right way. Value is how much the data has a positive impact on the company's business. We can do further analysis on the value of the data obtained. Data that does not have value in any part will not be filtered in the Big Data analysis application system.,5,5,5,5,5
std-kuis-80,80,kuis-1,kuis,Veracity is a characteristic that links the accuracy of data with confidence in the truth of the data. Value is a characteristic that can transform the data into a business potential.,5,5,5,5,5
std-kuis-81,81,kuis-1,kuis,"2V other than those explained in the module are value and veracity 1. VALUE Value means that big data has a very high value if processed in an appropriate way or it can also be said how valuable or meaningful a data is. For example, the employee biodata of a beverage raw material sales company will not be valuable for the purposes of predicting raw material sales analysis to customers. The data may not be important and valuable for one thing, but it can be very important and very valuable for another thing. Data that has no value in any part will not be filtered in the Big Data analysis application system. 2. VERACITY Big data has vulnerabilities in terms of accuracy and validity so that it requires depth to analyze big data in order to produce the right decision. The veracity character refers to how accurate and reliable the data is.",5,5,5,5,5
std-kuis-82,82,kuis-1,kuis,"2V besides Variety, Velocity, and Volume are: Varicity, which concerns the validity of data whether it can be trusted or not. As is known, Big Data has a large amount and in various forms so that the truth about data information becomes less controlled, such as in a faculty A at a university using the male L and female P signs as gender distinguishers while Faculty B is still with the same university to distinguish gender using male P and female W so that analysis errors can occur. Value concerns the value of data to determine the decisions we take after processing all the data. Without knowing the value of data, we can have difficulty or even make mistakes in taking the next step. Utilizing the right data value will make our next step decisions more efficient.",5,3,5,4,5
std-kuis-83,83,kuis-1,kuis,"Other 2Vs are veracity and value. Veracity means that big data has vulnerabilities in terms of accuracy and validity, so it requires depth to analyze big data in order to produce the right decision. Value means that big data has a very high value if processed in an appropriate way.",5,5,5,5,5
std-kuis-84,84,kuis-1,kuis,"VERACITY Big data has vulnerabilities in terms of accuracy and validity so that it requires depth to analyze big data in order to produce the right decisions. The character of veracity refers to how accurate and reliable the data is. VALUE Value means that big data has a very high value if processed in an appropriate manner or it can also be said how valuable or meaningful the data is. For example, the employee biodata of a food raw material sales company will not be valuable for the purposes of analyzing the prediction of raw material sales to customers. The data may not be important and valuable for one thing, but it can be very important and very valuable for another. Data that has no value in any part will not be filtered in the Big Data analysis application system.",5,5,5,5,5
std-kuis-85,85,kuis-1,kuis,"Varicity: related to the validity of data. The many forms of data that are spread out make less control over the validity of the data, so big data helps us as users to conduct analysis. Value: the value of data plays an important role in decision making after data processing. Without data value, it will be difficult to make a sustainable decision.",5,3,5,4,5
std-kuis-86,86,kuis-1,kuis,Validity Data accuracy. The data used is checked whether it comes from a trusted source and is accurate. Volatility Data relevance. Data from a time span is checked whether it is still relevant and can be used appropriately in the conditions at the time of the analysis.,1,1,3,1,3
std-kuis-87,87,kuis-1,kuis,"VERACITY Big data has vulnerabilities in terms of accuracy and validity so that it requires depth to analyze big data in order to produce the right decisions. The character of veracity refers to how accurate and reliable the data is. VALUE Value means that big data has a very high value if processed in an appropriate manner or it can also be said how valuable or meaningful the data is. For example, the employee biodata of a food raw material sales company will not be valuable for the purposes of analyzing the prediction of raw material sales to customers. The data may not be important and valuable for one thing, but it can be very important and very valuable for another. Data that has no value in any part will not be filtered in the Big Data analysis application system.",5,5,5,5,5
std-kuis-88,88,kuis-1,kuis,"1. Veracity, refers to the abnormality of the data. Does the stored data have meaning for the problem being analyzed. 2. Validity, regarding the data being correct and accurate for the purpose of use",3,2,2,2,4
std-kuis-89,89,kuis-1,kuis,"- Veracity Refers to data inconsistencies that can occur at any time, thus inhibiting the process of processing and managing data effectively. Veracity means that big data has vulnerabilities in terms of accuracy and validity so that it requires depth to analyze big data in order to produce the right decisions - Value Means that big data has a very high value if processed in an appropriate manner and can be used to help decision making.",5,5,5,5,5
std-kuis-90,90,kuis-1,kuis,"The other 2 Vs are Veracity and Value. Veracity: Big Data has vulnerabilities in terms of accuracy and validity, this causes the need for depth to analyze Big Data in order to produce the right decisions. Value: Big Data has a very high value and is valuable if it can be processed, processed, used, and utilized optimally, effectively, efficiently, appropriately, and effectively.",5,5,5,5,5
std-kuis-91,91,kuis-1,kuis,"Veracity, this aspect refers to the certainty of the accuracy of the available data. Value, this aspect refers to the mass exploration process of hidden values ​​in a large data set.",5,5,5,4,5
std-kuis-92,92,kuis-1,kuis,Value: How much the data is likely to have a positive impact on the data user's goals Veracity Validity: assurance of the quality or credibility of the data collected,5,4,5,5,5
std-kuis-93,93,kuis-1,kuis,"VERACITY: Big data has vulnerabilities in terms of accuracy and validity so that it requires depth to analyze big data in order to produce the right decisions. The character of veracity refers to how accurate and reliable the data is. VALUE: Value means that big data has a very high value if processed in an appropriate manner or it can also be said how valuable or meaningful the data is. For example, the employee biodata of a food raw material sales company will not be valuable for the purposes of analyzing the prediction of raw material sales to customers. The data may not be important and valuable for one thing, but it can be very important and very valuable for another. Data that has no value in any part will not be filtered in the Big Data analysis application system.",5,5,5,5,5
std-kuis-94,94,kuis-1,kuis,"veracity: a characteristic that big data has vulnerabilities in terms of accuracy and validity value: big data has a very high value if processed in the right way, so that it produces maximum results",5,5,5,5,5
std-kuis-95,95,kuis-1,kuis,"VERACITY, namely big data has vulnerabilities in terms of accuracy and validity, so it is necessary to deepen the analysis of big data in order to obtain the right decision. VALUE, namely in analyzing data, value is needed and produced from each data. Big data has a very high value if processed in the right way.",5,5,5,5,5
std-kuis-96,96,kuis-1,kuis,"The other 2Vs are Veracity and Value. Veracity means that big data has vulnerabilities in terms of accuracy and validity, so it requires depth to analyze big data in order to produce the right decision. Value refers to our ability to turn our data into value. Value means that big data has a very high value if processed in an appropriate manner.",5,5,5,5,5
std-kuis-97,97,kuis-1,kuis,"The 2Vs are: a. Validity, meaning that the data taken must be correct and accurate b. Veracity, meaning that big data has vulnerabilities in terms of accuracy and validity",3,3,3,4,5
